forecast,noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq
"F(a, h) pooled",80,0.2,0.3,23,0.23862236728636416,0.391304347826087
"F(a, h) pooled",80,0.3,0.4,14,0.3464431829520777,0.2857142857142857
"F(a, h) pooled",80,0.4,0.5,10,0.4609450238147444,0.3
"F(a, h) pooled",80,0.5,0.6,18,0.5500881676318339,0.6111111111111112
"F(a, h) pooled",80,0.6,0.7,11,0.6574834080878894,0.7272727272727273
"F(a, h) pooled",80,0.7,0.8,19,0.7570655013391505,0.8421052631578947
"F(a, h) pooled",80,0.8,0.9,45,0.8582142409020509,0.8444444444444444
"F(a, h) pooled",80,0.9,0.95,37,0.9252864803171373,0.9459459459459459
"F(a, h) pooled",80,0.95,1.0,759,0.9829583073214662,0.9986824769433466
"F(a, h) pooled",95,0.0,0.01,12876,0.001287051898092759,0.00046598322460391424
"F(a, h) pooled",95,0.01,0.02,222,0.013732926160848627,0.009009009009009009
"F(a, h) pooled",95,0.02,0.05,183,0.031069712933146563,0.02185792349726776
"F(a, h) pooled",95,0.05,0.1,102,0.07077411577834536,0.049019607843137254
"F(a, h) pooled",95,0.1,0.2,59,0.1373222241432128,0.11864406779661017
"F(a, h) pooled",95,0.2,0.3,35,0.23978405635167008,0.17142857142857143
"F(a, h) pooled",95,0.3,0.4,27,0.3500284345092138,0.48148148148148145
"F(a, h) pooled",95,0.4,0.5,21,0.453191803264157,0.47619047619047616
"F(a, h) pooled",95,0.5,0.6,17,0.5596259073404722,0.5882352941176471
"F(a, h) pooled",95,0.6,0.7,17,0.6515031528674328,0.7058823529411765
"F(a, h) pooled",95,0.7,0.8,30,0.752939572661248,0.7666666666666667
"F(a, h) pooled",95,0.8,0.9,41,0.8543860359375026,0.926829268292683
"F(a, h) pooled",95,0.9,0.95,51,0.9273594641839239,0.9607843137254902
"F(a, h) pooled",95,0.95,1.0,719,0.9826282374534749,0.9944367176634215
"F(a, h) pooled",110,0.0,0.01,12572,0.0013872841214967548,0.0007954183900731785
"F(a, h) pooled",110,0.01,0.02,331,0.013944918427543803,0.006042296072507553
"F(a, h) pooled",110,0.02,0.05,298,0.031028169951757195,0.040268456375838924
"F(a, h) pooled",110,0.05,0.1,123,0.07290191059988554,0.08943089430894309
"F(a, h) pooled",110,0.1,0.2,109,0.14415813412661924,0.10091743119266056
"F(a, h) pooled",110,0.2,0.3,41,0.24407566399195818,0.2682926829268293
"F(a, h) pooled",110,0.3,0.4,30,0.34410301172670316,0.3333333333333333
"F(a, h) pooled",110,0.4,0.5,32,0.4520047922809468,0.375
"F(a, h) pooled",110,0.5,0.6,25,0.5508632548543662,0.56
"F(a, h) pooled",110,0.6,0.7,31,0.6518979099130223,0.7096774193548387
"F(a, h) pooled",110,0.7,0.8,32,0.7636254387317108,0.78125
"F(a, h) pooled",110,0.8,0.9,64,0.8512940885625964,0.921875
"F(a, h) pooled",110,0.9,0.95,54,0.9284636249309854,0.8703703703703703
"F(a, h) pooled",110,0.95,1.0,658,0.9820457382902675,0.993920972644377
"F(a, h) pooled",125,0.0,0.01,11626,0.0016913578124959688,0.001032169275761225
"F(a, h) pooled",125,0.01,0.02,603,0.01397503097996532,0.01824212271973466
"F(a, h) pooled",125,0.02,0.05,607,0.031751072296081824,0.04118616144975288
"F(a, h) pooled",125,0.05,0.1,295,0.07184961057945444,0.08813559322033898
"F(a, h) pooled",125,0.1,0.2,213,0.14341637428123308,0.14553990610328638
"F(a, h) pooled",125,0.2,0.3,125,0.2483376711862802,0.192
"F(a, h) pooled",125,0.3,0.4,74,0.3494356721960478,0.35135135135135137
"F(a, h) pooled",125,0.4,0.5,58,0.4430197642265881,0.46551724137931033
"F(a, h) pooled",125,0.5,0.6,52,0.5536435362410961,0.6730769230769231
"F(a, h) pooled",125,0.6,0.7,50,0.6528359519468713,0.64
"F(a, h) pooled",125,0.7,0.8,59,0.7617493620410317,0.7627118644067796
"F(a, h) pooled",125,0.8,0.9,81,0.857429931567047,0.8024691358024691
"F(a, h) pooled",125,0.9,0.95,77,0.9311564802486141,0.8571428571428571
"F(a, h) pooled",125,0.95,1.0,480,0.9807753425419359,0.9895833333333334
"F(a, r_a)",80,0.0,0.01,12567,0.0014192751086496383,0.0010344553194875468
"F(a, r_a)",80,0.01,0.02,356,0.014099770121088985,0.02247191011235955
"F(a, r_a)",80,0.02,0.05,287,0.031991034562601585,0.0313588850174216
"F(a, r_a)",80,0.05,0.1,116,0.069795806530608,0.13793103448275862
"F(a, r_a)",80,0.1,0.2,109,0.14595944199497762,0.1743119266055046
"F(a, r_a)",80,0.2,0.3,41,0.25541541944586577,0.3170731707317073
"F(a, r_a)",80,0.3,0.4,28,0.3540831573670888,0.5357142857142857
"F(a, r_a)",80,0.4,0.5,29,0.44895034129886113,0.27586206896551724
"F(a, r_a)",80,0.5,0.6,31,0.5456531415619138,0.5483870967741935
"F(a, r_a)",80,0.6,0.7,29,0.6594117982668849,0.5862068965517241
"F(a, r_a)",80,0.7,0.8,31,0.7616688482036852,0.7096774193548387
"F(a, r_a)",80,0.8,0.9,59,0.8563647308974308,0.7796610169491526
"F(a, r_a)",80,0.9,0.95,62,0.9291936106520479,0.8064516129032258
"F(a, r_a)",80,0.95,1.0,655,0.9813217779770198,0.9877862595419847
"F(a, r_a)",95,0.0,0.01,12330,0.0015223743098395528,0.00072992700729927
"F(a, r_a)",95,0.01,0.02,420,0.014168763750074517,0.023809523809523808
"F(a, r_a)",95,0.02,0.05,374,0.031371348227181246,0.0481283422459893
"F(a, r_a)",95,0.05,0.1,167,0.06808034733119901,0.11377245508982035
"F(a, r_a)",95,0.1,0.2,121,0.14170175691735123,0.12396694214876033
"F(a, r_a)",95,0.2,0.3,62,0.24554560535281741,0.2903225806451613
"F(a, r_a)",95,0.3,0.4,44,0.34436341528167397,0.4318181818181818
"F(a, r_a)",95,0.4,0.5,23,0.45626555869763413,0.5217391304347826
"F(a, r_a)",95,0.5,0.6,28,0.5421756933884143,0.4642857142857143
"F(a, r_a)",95,0.6,0.7,39,0.6504859895742418,0.717948717948718
"F(a, r_a)",95,0.7,0.8,49,0.7564109002859507,0.6122448979591837
"F(a, r_a)",95,0.8,0.9,62,0.8472051751938081,0.7419354838709677
"F(a, r_a)",95,0.9,0.95,74,0.9283520438133548,0.8648648648648649
