noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq,forecast
125,0.9,0.95,14,0.9298955876735364,0.8571428571428571,"F(a, h) pooled"
125,0.95,1.0,155,0.9814664680301041,0.9870967741935484,"F(a, h) pooled"
80,0.0,0.01,3826,0.001426297493780896,0.0007841087297438578,"F(a, r_a)"
80,0.01,0.02,88,0.013957965017286921,0.022727272727272728,"F(a, r_a)"
80,0.02,0.05,62,0.0326689692594844,0.03225806451612903,"F(a, r_a)"
80,0.05,0.1,24,0.07207512714523863,0.16666666666666666,"F(a, r_a)"
80,0.1,0.2,27,0.14469647280739018,0.18518518518518517,"F(a, r_a)"
80,0.2,0.3,13,0.24181877824723885,0.38461538461538464,"F(a, r_a)"
80,0.3,0.4,11,0.35419809890448045,0.45454545454545453,"F(a, r_a)"
80,0.4,0.5,5,0.44653153393813527,0.2,"F(a, r_a)"
80,0.5,0.6,11,0.5520430198293634,0.5454545454545454,"F(a, r_a)"
80,0.6,0.7,6,0.6495284313440787,0.5,"F(a, r_a)"
80,0.7,0.8,15,0.7490541844675119,0.5333333333333333,"F(a, r_a)"
80,0.8,0.9,15,0.8590829429410871,0.9333333333333333,"F(a, r_a)"
80,0.9,0.95,13,0.9283112157311894,0.8461538461538461,"F(a, r_a)"
80,0.95,1.0,204,0.9814724194079597,0.9852941176470589,"F(a, r_a)"
95,0.0,0.01,3750,0.001509918277226543,0.0008,"F(a, r_a)"
95,0.01,0.02,122,0.013703872545124588,0.00819672131147541,"F(a, r_a)"
95,0.02,0.05,77,0.03297188363989583,0.06493506493506493,"F(a, r_a)"
95,0.05,0.1,41,0.06780941973603746,0.12195121951219512,"F(a, r_a)"
95,0.1,0.2,32,0.1374551218441649,0.125,"F(a, r_a)"
95,0.2,0.3,20,0.2486130628764276,0.3,"F(a, r_a)"
95,0.3,0.4,12,0.35144360564097377,0.5,"F(a, r_a)"
95,0.4,0.5,6,0.45765212336959454,0.3333333333333333,"F(a, r_a)"
95,0.5,0.6,9,0.5417145722725865,0.4444444444444444,"F(a, r_a)"
95,0.6,0.7,7,0.6594924749831704,0.7142857142857143,"F(a, r_a)"
95,0.7,0.8,20,0.7427614642748597,0.75,"F(a, r_a)"
95,0.8,0.9,17,0.8428902041551414,0.7058823529411765,"F(a, r_a)"
95,0.9,0.95,12,0.925182262403918,0.8333333333333334,"F(a, r_a)"
95,0.95,1.0,195,0.9806893498239877,0.9846153846153847,"F(a, r_a)"
110,0.0,0.01,3635,0.0017056062082715228,0.0008253094910591472,"F(a, r_a)"
110,0.01,0.02,140,0.014306492490813283,0.007142857142857143,"F(a, r_a)"
110,0.02,0.05,132,0.030931335222214508,0.05303030303030303,"F(a, r_a)"
110,0.05,0.1,59,0.06747589255123763,0.0847457627118644,"F(a, r_a)"
110,0.1,0.2,53,0.14742867490231307,0.22641509433962265,"F(a, r_a)"
110,0.2,0.3,19,0.2404568431268311,0.15789473684210525,"F(a, r_a)"
110,0.3,0.4,19,0.3389457072686762,0.2631578947368421,"F(a, r_a)"
110,0.4,0.5,13,0.45976812355087193,0.6923076923076923,"F(a, r_a)"
110,0.5,0.6,13,0.5615869183637868,0.5384615384615384,"F(a, r_a)"
110,0.6,0.7,13,0.6412427921581814,0.6153846153846154,"F(a, r_a)"
110,0.7,0.8,11,0.7478226117667439,0.9090909090909091,"F(a, r_a)"
110,0.8,0.9,18,0.8549608956100581,0.6666666666666666,"F(a, r_a)"
110,0.9,0.95,28,0.9297441309319087,0.8571428571428571,"F(a, r_a)"
110,0.95,1.0,167,0.9799334011231797,0.9820359281437125,"F(a, r_a)"
125,0.0,0.01,3306,0.0020352596972159688,0.0009074410163339383,"F(a, r_a)"
125,0.01,0.02,274,0.01406624233232727,0.025547445255474453,"F(a, r_a)"
125,0.02,0.05,225,0.03131511597628539,0.035555555555555556,"F(a, r_a)"
125,0.05,0.1,119,0.06963581276142727,0.13445378151260504,"F(a, r_a)"
125,0.1,0.2,75,0.137097526691257,0.14666666666666667,"F(a, r_a)"
125,0.2,0.3,35,0.24954575121225275,0.2857142857142857,"F(a, r_a)"
125,0.3,0.4,32,0.3412411188351906,0.34375,"F(a, r_a)"
125,0.4,0.5,19,0.44379442750958037,0.42105263157894735,"F(a, r_a)"
125,0.5,0.6,21,0.546496398899812,0.5238095238095238,"F(a, r_a)"
125,0.6,0.7,18,0.6457907327819955,0.5,"F(a, r_a)"
125,0.7,0.8,18,0.7396860069560759,0.7222222222222222,"F(a, r_a)"
125,0.8,0.9,28,0.8566501863407078,0.7142857142857143,"F(a, r_a)"
125,0.9,0.95,27,0.9259406566447432,0.9259259259259259,"F(a, r_a)"
125,0.95,1.0,123,0.9781697875598521,0.959349593495935,"F(a, r_a)"
80,0.0,0.01,3992,0.0011054838799481573,0.0,"F(a, r_a, h) pooled"
80,0.01,0.02,16,0.014608468417143286,0.0625,"F(a, r_a, h) pooled"
80,0.02,0.05,15,0.0332501341660503,0.06666666666666667,"F(a, r_a, h) pooled"
80,0.05,0.1,12,0.06361310599782904,0.0,"F(a, r_a, h) pooled"
80,0.1,0.2,5,0.13916485761535696,0.2,"F(a, r_a, h) pooled"
80,0.2,0.3,5,0.24152937999354956,0.2,"F(a, r_a, h) pooled"
80,0.3,0.4,3,0.35377214067802426,0.3333333333333333,"F(a, r_a, h) pooled"
80,0.4,0.5,3,0.44411363400548315,0.3333333333333333,"F(a, r_a, h) pooled"
80,0.5,0.6,4,0.5423958925407205,0.75,"F(a, r_a, h) pooled"
80,0.6,0.7,1,0.6516110199582844,1.0,"F(a, r_a, h) pooled"
80,0.7,0.8,5,0.7549346457709569,0.8,"F(a, r_a, h) pooled"
80,0.8,0.9,6,0.8482391256491856,0.8333333333333334,"F(a, r_a, h) pooled"
80,0.9,0.95,14,0.9268501463720893,0.8571428571428571,"F(a, r_a, h) pooled"
80,0.95,1.0,239,0.9838189558072493,1.0,"F(a, r_a, h) pooled"
95,0.0,0.01,3954,0.0011673803834828926,0.0,"F(a, r_a, h) pooled"
95,0.01,0.02,35,0.01446390596171016,0.0,"F(a, r_a, h) pooled"
95,0.02,0.05,24,0.03181699247629793,0.041666666666666664,"F(a, r_a, h) pooled"
95,0.05,0.1,7,0.06317499447068946,0.0,"F(a, r_a, h) pooled"
95,0.1,0.2,16,0.14492055495380668,0.125,"F(a, r_a, h) pooled"
95,0.2,0.3,6,0.25232322304473637,0.3333333333333333,"F(a, r_a, h) pooled"
